name_Vacancy	name_Company	vacancy_Link	vacancy_Payday
Junior Data scientist	ООО МФК Займ Онлайн	https://pushkino.hh.ru/vacancy/35218725?query=Junior%20python%20developer	
Junior DevOps Engineer	 Black Wall Group	https://pushkino.hh.ru/vacancy/34980785?query=Junior%20python%20developer	90 000-120 000 руб.
Разработчик Python (middle / junior)	ООО Инспектор Клауд	https://pushkino.hh.ru/vacancy/35249707?query=Junior%20python%20developer	70 000-160 000 руб.
Junior Quantitative Researcher	ООО КВАНТПОРТРУС	https://pushkino.hh.ru/vacancy/31844648?query=Junior%20python%20developer	250 000-250 000 руб.
Junior python-разработчик	 BR Lab	https://pushkino.hh.ru/vacancy/35214048?query=Junior%20python%20developer	40 000-80 000 руб.
Младший программист Python	 QIWI	https://pushkino.hh.ru/vacancy/35189679?query=Junior%20python%20developer	
Инженер-программист ( front-end developer ) junior/middle	 Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации	https://pushkino.hh.ru/vacancy/32697772?query=Junior%20python%20developer	100 000-140 000 руб.
Junior Quant Trader / C# Developer	ООО НОВОТЕХ	https://pushkino.hh.ru/vacancy/35168169?query=Junior%20python%20developer	
Младший бэк-энд разработчик (Python)	 Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации	https://pushkino.hh.ru/vacancy/31240024?query=Junior%20python%20developer	80 000-110 000 руб.
Middle Frontend developer / React, Next.js	 KRK Group	https://pushkino.hh.ru/vacancy/34933455?query=Junior%20python%20developer	110 000-160 000 руб.
Frontend-разработчик (React)	ООО РАБЛЗ	https://pushkino.hh.ru/vacancy/35045919?query=Junior%20python%20developer	80 000-180 000 руб.
Программист Python	 Group-IB	https://pushkino.hh.ru/vacancy/33599858?query=Junior%20python%20developer	
Программист-разработчик Python (junior)	 Ростелеком - Центры обработки данных	https://pushkino.hh.ru/vacancy/35028427?query=Junior%20python%20developer	
Frontend разработчик (React)	АО Семейный доктор	https://pushkino.hh.ru/vacancy/33696353?query=Junior%20python%20developer	80 000-200 000 руб.
NLP engineer / Data scientist NLP	ООО АлгоМост	https://pushkino.hh.ru/vacancy/35231626?query=Junior%20python%20developer	100 000-250 000 руб.
PHP-программист	ООО Флекскор	https://pushkino.hh.ru/vacancy/35198599?query=Junior%20python%20developer	40 000-90 000 руб.
Веб-программист (Junior)	 Группа компаний «Триумф»	https://pushkino.hh.ru/vacancy/25474707?query=Junior%20python%20developer	
Data Scientist (PVH: Tommy Hilfiger / Calvin Klein)	 Nicotech International	https://pushkino.hh.ru/vacancy/35193245?query=Junior%20python%20developer	
Младший С++ разработчик (computer vision)	 ABBYY	https://pushkino.hh.ru/vacancy/34992606?query=Junior%20python%20developer	
Junior-разработчик	 AWATERA	https://pushkino.hh.ru/vacancy/35174373?query=Junior%20python%20developer	
